	micha-ii-48	lanzarote-ii-48	fr111-ii-48	fr751-ii-48	inc-ii-48	sommer--ii-48	lancellotto-ii-48
1030	si s’en part atant de lui 	Luego se partio el vno del otro 	si se part atant de luy. 	Atant se part de lanc̃. la damoisele. 	Si se part atant de elle 	Si sen part atant de lui. 	si si parte atanto di lui. 
1031	et il s’en vet droit vers le chastel de Floego, 	e lançarote se fue contra el castillo de florenga 	et il sen ua tout droit. |uers le chastel de fleogo 	et il sen ua tout droit uers le chastel de floego. 	et sen ua uers le chasteau de florega 	Et il sen vait uers le castel de florega. 	Ed e' se ne va tutto diritto |inverso el castello del Flego, 
1032	si i vint a hore de prime. 	e andubo tanto 	si y uint a heure de prime. 	Si i uint a hore de prime et des garde es pres de fors 	si y uint entour prime. 	Si y uin entor prime. 	si vi venne a ora di prima. 
1033|1034|1035|1036	Et il esgarde es pres defors la vile, |si voit molt grant gent entor le feu |ou l’en devoit ardoir la suer Meleagan», |et quant il aperçoit le feu, 	que llego alla ante de prima |e vio ante la villa gran jente alrrededor de vn fuego |e en aquel fuego auian de quemar 	et il regarde es prez dehors la uille. |si uoit moult grant gent entour ung feu. 	La uille si auoit mout de gent entor .i. fe. |Et quant il aparsoit le feu si a paor de la damoisele. 	et il regarde es prez hors la uille |si y uist moult grant gent entour ung feu |ou len deuoit ardoir la seur de meleagant. |Quant il apperceust le feu 	Et il regarde en mi lez pres dehors la vile |Si vit moult grant gent entor vn fu. |ou on deuoit ardoir le suer melyagant, 	Ed e' riguarda nel prato di fuori la villa, |si vi vide molto grande gente intorno uno fuoco, |e quando elli apressima al fuoco, si à paura della damigella |che già era menata al fuoco per distrugere. 
1037|1038	si a poor de la damoisele. Lors broche le cheval |et vint errant cele part 	ala hermanade meliangas e lançarote |que aquello vido dio 		et lors broche li cheual |et uient corant cele part. 	si eut grant paour de la damoiselle. 		i brocca il cavallo delli isproni |e viene in quelle parti correndo 
1039|1040|1041|1042	tant com il puet del cheval traire. |Et quant il est venus jusque la, |si esgarde |et voit la damoisele 	delas espuelas al cauallo |e llego alla |ca bien cuidaua |que ya quemauan la donçella |e quando el y llego vio la donçella 	Et quant il aparceut le feu si a paour de la damoisele 	tant comme il puet de cheual traire. |et quant il uien iusque la si esgarde |et uoit la damoisele 	Lors frappe le cheual des esperons |et uient celle part. |et quant il uoit la damoiselle 	CNuant lancelot aperchut le fu |si ot moult grant paour de la damoisele 	tanto come può del cavallo trarre, |e quand’egli è là venuto, |si vide la damigella 
1043|1044	qui ja estoit amenee al feu por destruire, |si estoit en pure sa chemise 	estar ante el fuego envna muy pobre camisa 	qui ia estoit amenee au feu pour destruire. |si estoit en sa pure chemise 	que ia estoit amenee au feu por destruire. |Si estoit en la pure chemisse si la tenoien 	qui ia estoit amenee au feu |pour destruire |laquelle estoit en une poure chemise 	qui y ia estoit menee au fu pour destruire. |Si estoit en vne poure chemise 	che già era menata al fuoco |per liverarla a morte. |Si era in sua pura camicia 
1045	et le tenoient. VI. pautonier, trois d’une part et trois d’autre; 	e tenianla seis billanos |tres dela vna parte e tres dela otra 	et la tenoient six pautonniers dune part et troys dautre 	.ui. pautenier trois deuant et trois derier. 	et la tenoient six pautenniers. |trois de une part et trois dautre: 	et le tenoient. vi. pautonnier. iij. dune part. et. iij. dautre. 	e la tenieno vi. paltonieri, |tre d’una parte e tre d’altra, 
1046|1047	si n’atendoient a geter le el feu |fors le commandement as juges, 	e no esperauan al sino el mandamiento delos juezes 	si nactendoient a la gecter ou feu |fors le commandement des uiges. 	Si natandoient a geter li el feu fort le comandement les menistres. 	et ne actendent la iecter au feu |fors le commandement du iuge 	Si natendoient a geter |le el fu fors le commandement as iuges 	sì non atendieno a gittalla nel fuoco |forse il comandamento del l giudice, 
1048	et ele ploroit trop durement 	parala hechar enel fuego |e la donzella lloraua muy fuertemente 	Et elle plouroit merueilleusement 	et ele ploroit trop meruilleusement 	Et elle plouroit moult tendrement 	et elle ploroit moult tendrement 	ooma ella faceva troppo doloroso pianto 
1049	et regretoit Lancelot: « 	e llamaua a lançarote 	et regretoit lancelot. 	et regretoit lanc̾. 	et regrettoit lancelot: |en disant. 	et regretoit lancelot |et disoit ha : 	e rigrattava Lancellotto molto pietosamente, |si diceva sovente: 
1050|1051	Ha, gentilx chevaliers Lancelos, |kar pleust ore a nostre Salveor 	e deçia ay mi buen cauallero |e pluguiese agora anuestro señor 	Haa lancelot gentilz cheualier |De celle mesmes matiere. |que pleust ores a nostre seigneͬ 	ha gentil cheualiers lanc̃. |car pleust ore a dieu 	Haa gentil homme lancelot |car pleust a dieu 	gentiex hom lancelot |quar pleust ore a dieu 	orHal, gentil cavaliere Lancellotto, che or piacesse ora a Nostro Salvatore 
1052|1053	que vos seuissiés ceste novele, |si fuissiés pres de ci a demie lieue! 	que supiesedes estas nuebas |e estubiesedes çerca de aqui media legua 	que uous sceussez ceste nouuelle |et que feussez a demye lieue pres de cy. 	que uos seussiez ceste nouelle. |et uos fussiez pres de ci a demi lieue. 	que uous feussiez prez de cy a demy lieue 	que vous seussies ceste nouele |et puis vous fuissies chi a demie lieue. 	che vo' sapeste questa dolorosa novella a mio huopo, |per convento |che vo' foste presso di qui a meza lega! 
1054|1055	Certes a l’aide de Dieu et de la vostre seroie |je encore anuit rescosse malgré tos mes enemis. 	e conla ayuda de dios |e conla vuestra seria yo aCorrida e librada 	et certes a maide de dieu et de la uostre seroye ie encor ennnuyt rescousse malgre tous mes ennemys. 	Certes a laide de dieu |et ala uostre seroie ie encore ennuit rescouce maugre mes anemis. 	certes a laide de dieu |ie seroie rescous se malgre tous mes ennemis 	Certes a laide de dieu et de la uostre fuisse iou encore anuit rescousse malgre mes anemis 	osCerto, all’aiuto di Dio e al vostro sarei |io ancora stanotte riscossa a mal grado di tutti miei animici, 
1056|1057|1058	Mais vos ne le savés pas a, |si me covendra ore morir por la vie |que je vos sauvai emprés Dieu; 	e mas vos no lo sabedes |e asi me conuerna a morir 	et si ne li scauez pas. |si me conuiendra ores mourir pour la uie |que ie uous sauuay. 	Mais uos ne le sauez pas |si me couanra morir. |por la uie |que ie uos sauuai apres dieu. 	si me conuendra mourir pour la uie |que ie uous sauuay aprez dieu 	si men conuendra ore a morir pour la vie |que iou vous saluai apres dieu. 	ma vo' nol saprete mica, |si me ne converrà ora a morire vilmente |per ciò ch’io voi salvai la vita apresso Iddio. 
							Hal, lassa, come qui à dolorose novelle a mio huopob. 
							¡Poscia dice: 
1059|1060|1061	mais certes il ne m’en poise pas tant por moi |com il fet por le coros |que vos en avrois, 	mas no me pesa tanto pormi como porel pesar |que vos abredes 	mais certes il ne men poist pas tant pour moy |comme il fait pour le corroux. 	mais certes il ne men poise pas tant por moi comme por uos. |por le corrous |que uos en arrois 	mais certes dit elle |il ne me poise pas tant pour moy |comment il fait pour le courroust |que uous aurez 	Mais il ne me poise mie |tant pour moi |comme il fait pour le corous |que vous en aures 	«Certo, |e non me ne pesa tanto per me |come fa per lo trascruccio grande |che voi arete di mia morte, 
1062	quant vos le savrois. 	Quando lo supieredes 		quant uos le saurois. 	quant uous le saurez 	quant vous saures ma mort. 	quando vo' saprete il martidio 
1063	Mais ce me reconforte molt 	Mas esto me conorta mucho 	Mais ce me reconforte moult. 	mais ce me reconforte mout. 	mais ce me conforte 	Mais ce me conforte moult 	che l’uomo m’arà per voi giudicata. |etMa ciò mi riconforta molto, bel dolze sire, 
1064|1065	que je sai bien |que les damoiseles gaaigneront tant en ma mort 	que yo se quelas donçellas ganaran mucho enla my muerte 	car ie scay bien |que les damoiseles |qui queront tant en ma mort 	que ie sai bien |queles damoisele gaangneront tant en ma mort 	que ie scay bien |que les damoiselles gaigneront a ma mort 	que les puceles gaaigneront en ma mort. 	ch’io so bene |che lla mia morte fia guarento a tutti i giorni di tutte le damigelle del mondo. |esSi so bene 
							che lle damigelle guadagnano oggi 
1066	que jamés nule ne vos requerra d’aide 	que jamas donzella no vos rrequirira de ayuda 	que iamais nulle ne uous requerra daide. 	que iamais nule ne uos requerra a aide. 	car iamais nulles ne uous requerrent daide 	quar iamais nulle ne vous requerra dayde 	tanto che giamai non voi ne richiedrà niuna d’aiuto 
1067|1068	que vos li faillois |tant com il vos remenbre de moi, 	que le vos non fagades |tanto que vos acuerde demi 	a qui uous faillez |tant quil uous rememberra de moy. 	que uos li faillois |tant comme il uos membera de moi. 	que uous ne les aidez |tant quil uous souuiengne de moy 	que vous ne li aidies |tant comme il vous sousuiegne de moi. 	che vo' le falliate tanto come vo soverrà di me, 
1069|1070	kar vostre cuers est si frans |qu’il ne puet estre sans trop grant merites rendre a totes celes 	ca vos sodes tan noble e tan franco |que siempre dareis buen galardon |a todos aquellos 	Car uostre cuer est si franc |quil ne puet estre sans trop grant merite rendre a toutes celles 	Car uostres cuers est si sains |quil ne puet estre sans grant merites rendre a totes celes 	car uren cueur est ainsi franc. 	Car vostre cuers est si grans |quil ne puet estre sans grant merite rendre a toutes celes 	ché vostro cuore est sì franco |che non può essere sanza troppo grande merito rendere a tutte quelle 
1071|1072|1073	qui de par moi se reclaiment: |si m’est avis |qu’il m’est molt miels a m’ame de morir por loialté fere 	que demi se lamentaren |e mucho me sera buena al alma esta muerte |que Resçibire 	qui de par moy uous reclament. |Si mest adius quil est moult mieulx a ma uie de mourir 	qui de par moi se reclameront. |Si mest auis |que il est miex a marme de morir por la loiaute faire 	Si mest auiz |quil mest mieulx a lame |pour loiaulle faire 	qui de par moi vous reclameront |Si mest auis |que il mest moult miex a lame pour la loiaute faire 	che da parte di me si richiameranno. |Si m’è aviso |che, per lo profitto che nascerà di mia morte, |ch’egli è il meglio a mia anima 
							di morire 
							per lealtà fare 
1074	et por geter de prison si vaillant home 	porque saque de prision atan noble ome 	pour si hault affaire et pour gecter de prison si uaillant homme 	et por oster de prison si uaillant home 	et pour ietter de peril ung si uaillant homme 	et pour geter de prison si uaillant homme 	e per gittare di pregione |uno si valente huomo 
1075	comme vos 	Como vos que vos fuerades muerto 	comme uous estes 	comme uos estes ; 	comment uous/ 	comme vous estes. 	come vo' siete 
1076	que vos fuissiés mors par la desloialté de Meleagan 	porla deslealtad de meliangas 	que uous feussez mort par la desleaute de meleagan 	que uos fussiez mors par la desloiaute meleagant 	que se uous feussies mort par la desloyaulte melleagant/ 	que vous fuissies mors pour la desloiaute melyagant 	che vo' foste morto per la dislealtà di Meleagant 
1077	qui en prison vos avoit mis par traïson. » 	que en prision vos tenia |por su gran traiçion 	qui en prison uous auoit mis par traison. 	qui uos auoit mis en prison par traison. 	qui en prison uous auoit mis. 	qui en prison vous auoit mis. 	che n pregione voi avea messo per sua grande tradigione». 
1078	Ensi disoit la damoisele molt tendrement plorant 	e esto deçia la donçella llorando muy dolorosamente 	Ainsi disoit la damoisele moult tendement plourant. 	ANsi dissoit la damoisele ml̃t tandrement en plorant. 	AInsi disoit la damoiselle menlt tendrement plourant. 	ANsi disoit la damoisele moult tenrement plorant. 	Insi dimentava la damigella molto teneramente piagnendo. 
1079|1080|1081	et lors vint Lancelos poignant cele part |ou il la vit: |si dist a cels 	e lançarote vino luego |aquella parte do la donçella tenian |e dixo aquellos 	Et lors uint lancelot poiguant celle part |ou il la uit. |si dist a ceulx 	et lors uint lanc̃. |cele part |ou il la uit. |et dit a ciax 	lors uient lancelot poignant celle part |si dist a ceulx 	Et lancelot vint durement poignant |la ou il le vit ester. |Si dist a chiaus 	esAllor viene Lancellotto pugnendo in quelle parti ove la vide, |si disse a quelli 
1082|1083|1084|1085|1086|1087|1088|1089|1090|1091|1092|1093|1094|1095	qui le tenoient: « |Laissiés la damoisele! — |Por quoi, |sire, |fet J. chevaliers armés |qui avant saut, le lairons nos ? — |Por ce, |fet il, |que vos n’avés droit en li por fere mal. — |Si avons, |fet cil, |si grant |que nos l’avons atainte de murdre |dont je l’apelai, 	que la tenian dexadla donçella |Porque señor dixo vn cauallero |que delante salio la dexaran ellos |Porque dixo lançarote |Porque no auedes derecho |Porque la matar |si auemos dixo el muy grande |ca ella fue acusada de muerte 	qui la tiennent laissez la damoisele par courtoisie. |Et ung cheualier arme sault auant |et dist. |pour quoy la lairrons nous. |par ce fait il queͥ uous nauez droit de la faire mourir. |Si auons fait il |car ie lay actainte dung meurtre |dont ie lapellay. 	qui la renoient Laissiez la damoisele. |Por qoi sire fait uns cheualiers |qui auant saut |por quoi la lairons nous. |Por ce fait il |que uous ni auez droit en li faire morir. |Si auons fait cil |que nos lauons atainte do mudre |que nos li meciens sus. 	qui tenoient la damoiselle/ lessies la damoiselle. |pour quoy fait ung cheualier arme |qui deuant estoit/ la lesrons ilz. |pour ce fait il |que uous naues nul droit a la faire mourir/ |si auons fait celuy asses grant |car nous lauens actainte de meurdre donc ie lappeloie/ 	qui le tenoient. |Laissies ester la damoisele laissies. |pourcoi fait vns cheualiers armes |qui auant saut le lairoit on. |pour chou fait il |que vous naues droit de li faire morir. |Si auons fait cil si grant |que nous lauons atainte de murdre. |dont iou lapelai 	che-lla tenieno: |«Lasciate la damigella! |oE perché, |sire?, |disse uno cavaliere |che si mise immantanente avanti. |Perché la lascerebbono elli? - |Per ciò, |disse Lancellotto, |che vo' non avete diritto in lei far morire. — |Si abbiamo, sire, |disse quelli, |si grande come coloro |che-ll’ànno agiunta di tradigione |dond’io l’apellai, 
