	micha-ii-48	lanzarote-ii-48	fr111-ii-48	fr751-ii-48	inc-ii-48	sommer--ii-48	lancellotto-ii-48
1197	Lors traient la damoisele loins del feu 	e luego tiraron la donçella del fuego 	Lors tirent la damoisile au dessus du feu. 	Lors traient la damoisele ensus del feu 	Lors est la damoiselle reculee du feu/ 	Lors traient la damoisele loing del fu. 	oAllor trae el cavaliere immantanente lungi del fuoco, 
1198|1199|1200	et li chevalier s’entreslongent li uns de l’autre, |si s’entrevienent |si tost com li cheval pueent aler 	e los caualleros se dexaron correr el vno contrael |otro quanto los cauallos los pudieron lleuar 	et les cheualiers se esloiguent si tost |que les cheuaux peuent courre 	et li cheualier sentͤa longuet li uns de lautre. |Si sentreuienuent nent |si tost conli cheuaus lor pueent aler. 	et les cheualiers se eslongnent |et puys uiennent lun contre laultre tant come cheuaulx peuent courre/ 	et li cheualiers seslongent li vns de lautre. |puis sentrelaissent corre li vns vers lautre. |quanque il porent des cheuax traire. 	e i cavalier si traslungano l’uno da l’altro, |si si travengono si tosto come i cavalli possono andare, 
1201	et s’entrefierent des glaives si durement 	e firieronse delas lanças tan fieramente 	et sentrefierent des glayues si fort 	Si sentrefierent des glaiues si durement 	et sentrefierent si durement 	si sentrefierent si durement 	e si trafegono delle lance 
1202	qu’il les font voler en pieces; 	asi que las lanças fiçieron bolar en pieças 	quilz les font uoler en pieces. 	quil les font uoler en pieces. 	que les lances uollent en pieces. 	que lor glaiues volent en pieces. 	sicché le fanno volare in pezzi. 
1203|1204	puis s’entrehurtent si des cors et des visages |qu’il n’i a celui 	e toparon envno delos cuerpos 	puis sentrehurtent des corps et des uisages |si quil ny a celuy 	puis sentrehurtent des cors et des uisages. |Si que il ni a celui 	mes le cheualier ne se peult tenir en la selle/ 	puis sentrehurtent des cors et des uisages si durement |quil ni ot celui 	WPoscia si |trapercuotono di corpi e di visaggi, |si che non v’à colui 
1205|1206|1207	qui tos ne soit estordis et desconreez. |Mais li chevaliers par est si estonés |qu’il ne se puet tenir en sele, 	e delos yelmos |que el caballero no se pudo tener enla silla 	qui ne soit tout estourdy et estonne. |mais le cheualier est si estonne |qu il ne puet tenir en sele. 	qui tous ne soit estordis et desconrares. |mais li cheualiers est |Si estordis |quil ne se puet tenir en sele 	ains uolle ius du cheual/ 	quil ne fust desconrees. |Mais li cheualiers fu si estordis |quil ne se pot tenir es archons de sa sele 	che tutto non sia stordito e discassato. |Ma il cavaliere pare sì |istordito |che non si può tenere in sella, 
1208|1209	ains vole jus del cheval et al parchaoir feri |li quins del hialme en la terre, 	ante cayo del caballo en tierra 	ains uole ius du cheual. |et au choir fery |li quint du heaume en terre 	ains bale a terre. |et au parcheoir feri li coins en cͣre del hiame. 	et au choir ferit le coing du feaulme a terre 	Ains uole ius de son cheual, |Et au fn el chair feri li coins de son heaume en terre. 	anzi vola giù del cavallo: |al cadere fedi il jeru† de l’elmo in terra, 
1210|1211|1212|1213|1214	si qu’a bien pou |qu’il n’a le col brisié. |Et quant Lancelos a fet son tour, |si descent, |kar honte li seroit de requerre a cheval celui 	e al caer |ouierasele el pesqueço de quebrar |ca dio de cabeça del yelmo en tierra |e quando lançarote torno desçendio |ca el lo no queria acometer de Cauallo 	si qua pou quil na le coul froisse |Et quant lancelot a fait son tour si descent. |car honte luy seroit de requerre a cheual celuy 	Si qua bien pou |que cil na le col brisie. s quant lanc̃. a fait son cor si descent |Car honte li fust de requerre a cheual celui 	si que a pou quil na le col brisie. |Et quant lancelot le uoit |si descent a pie 	si qua poi quil not le col brisie. |Et quant lancelot ot fait son tor |si descent quar hontes li samble s de requerre a cheual celui 	sicché a poco che non à il collo rotto. |oE quando Lancellotto à fatto suo torno, |si discende, |ché onta gli sarebbe di richiedere colui a cavallo 
1215|1216	qui est a pié; |si trait l’espee et cort sus a celui 	porque el estaua de pie |e metio mano al espada |e fuese parael 	qui est a pie. |si trait lespee et court sus a celuy 	qui estoit a pie. |Si trait lespee et cort sus celui 	et tire son espee et court sus a celuy 	qui estoit a pie. |Si trait lespee et corut sus a celui 	tanto come sia a piè discenduto, |e corre suso a colui 
1217|1218	qui ja se relevoit, |si li done par mi le hialme tel cop 	que ya hera leuantado |e diole tal golpe ençima del yelmo 	qui ia se releuoit. |si luy donne si grant cop par my le heaume 	qui ia ce releuoit. |Si li done si grant cop parmi le hiaume 	qui ia se releuoit/ si luy denne tel coup sur le chief 	qui ia se releuoit. |Si li donne parmi le heaume tel cop 	che si rilevava, |sì gli dona tal colpo per me l’elmo 
1219|1220|1221|1222	qu’il le fet a terre flatir des paumes et des genols ; |puis recuevre I. autre cop |et le fiert |si qu’il le fet tot parchaoir 	quele fiço dar de manos en tierra e el que se yua por leuantar diole otro golpe dela espada |que dio luego conel atordido en tierra 	quil le fait flatir des paumes et des genoux a terre |puis recueuure ung autre cop |et le fiert |si quil le fait tout choir 	quil le fait uoler a terre des paumes et des ienos. |Si quil recueure un autre cop |si quil le fait tout parcheoir. 	qui le fist flattir a terre des palmes et des genoulz |puis recouure ung autre coup |et le fiert |si quil le fait parchoir/ 	quil le fait a la terre flatir des palmes et des genouls. |puis recoeure. j. autre cop |si le fiert par tel air |si que il labat a terre tout estordi. 	ch’elli el fa a terra cadere |co-lle palme e co-lle ginocchia. |ia ricovera uno altro colpo, |sicch’elli il fa percadere, |si l piglia immantanente a l’elmo, 
1223	et le prent par le hialme, 	e tomolo Porel yelmo 	Et lors le prent par le heaume 	et lors le prent par le hiaume 	apres le prent par le heaulme 	puis le prent au heaume 	si l traina 
1224	si le traine jusqu’al feu et le gete dedens. 	e tiro tan Reçiamente |que selo arranco dela cabeza 	et le trayne iucquau feu |si le gecte dedans 	et le traine iuscau feu. |et le gecte dedens. 	et le traine iusques au feu/ 	si le traine uers le fu |et le gete dedens. 	infino qua al fuoco |e 'l vi getta di dentro; 
1225|1226	Et cil estoit si estordis |et tant avoit perdue la force del cors 	E el finco muy estordido |e sin fuelgo |e asi auia perdido la fuerça del cuerpo 	Et il estoit si estourdy |et tant auoit perdu la force du corps 	et ciz estoit si estordiz |et tant auoit perdu la force dou cors 	si le iette dedens et celuy estoit si estourdi 	et cil estoit si estordis. |et si uoit perdu la force de son cors 	le quelli era stordito |e tanto avea la forza perduta del corpo 
1227	que relever ne se pot, 	Que se no podia rreboluer |e lançarote tomolo porlos braços 	quil ne se peut releuer. 	que releuer ne se puet. 	quil ne se pouoit remuer 	quil ne se pot releuer. 	che rilevare non si poté, 
1228|1229	si le covint remanoir el feu |et morir en tel maniere. 	e dio conel enel fuego |e dexolo ay morir ental manera 	si luy conuint demourer ou feu et mourir en telle maniere. 	si le couint remanoir et morir en tel maniere. 	si luy conuient demourer au feu/ |et mourir en telle maniere. 	si le conuint remanoir el fu |et morir en tel maniere. 	si l covenne rimanere nel fuoco e morire in tale maniera. 
1230|1231	Et lors vienent avant cil |qui le champ gardoient, 	e luego vinieron a lançarote |los quela guardauan 	et lors uiennent auant ceulx |qui le champ gardoient. 	Lors uiennent auant cil |qui le feu gardoient. 	Lors uiennent ceulx |qui gardoient le champ 	Lors vienent auant cil |qui le camp gardent 	eAllor vengono avanti quelli che l campo guardavano, 
1232	si dient a Lancelot 	e dixeronle |señor asaz auedes fecho 	si dient a lancelot 	Si dient a lanc̃. 	et dient a lancelot 	et dient a lancelot. 	si dicono a Lancellotto 
1233|1234	qu’il en a assés fet |et li rendent la damoisele saine et haitiee, 	e los que tenian la donçella traxeronsela delante 	quil en a assez fait et luy rendent la damoisele saine et haitie 	quil auoit assez fait. |et li rendent la damoisele sainne et haitie. 	quil en a asses fait |si luy rendent la damoiselle saine et haictiee 	quil en a asses fait. |si li rendent la damoisele saine et salue. 	che n’à assai fatto, |si gli rendono la damigella tutta sana ed atata. 
1235	et il la fet vestir, 	e el fizo la vestir 	et il la fait uestir 	et il la fait uestir. 	et il a fait uestir 	Et il la fait uestir: 	sEd e' la fa vestire, 
1236|1237|1238|1239|1240|1241	puis li demande |qu’ele velt |qu’il face mes. « |Sire, |fet ele, |que vos me menés a salveté a mon chastel. » 	e dixole donçella |que queredes mas que faga señor dixo ella |que vaiades con migo fasta mi castillo 	puis luy demande |quelle ueult quil luy face |mais Sire fait elle |que uous memmenez en mon chastel. 	pus Li demande |que ele uet |que il face mais. |SIre fait ele |que uos me remenez a mon chastel. 	puis luy demande |que elle ueult plus. |Sire fait elle ie uueil |que uous me mettes a sauuete en mon chastel/ 	puis li demande |que eler veult |que il face plus. |Sire ce dist la damoisele |ie Voel que vous me metes a saluete en mon castel. 	poscia la domanda che ella vuole |ch’elli faccia da oggimai. |«Hal, |sire, diss’ella, |che voi mi |meniate a salvamento in mio castello». 
1242|1243|1244|1245|1246|1247	Et il dist |que volentiers: |si le fet monter |et le conduit jusqu’al chastel|ou ele l’ot gardé maint jor. |Li chastials avoit non Galefort 	Donçella muy de Grado dixo lançarote |e luego se fueron parael castillo |e aquel castillo auia nombre galeforte 	et il luy dit |que uoulentiers |si la fait monter |et la conduit iucquau chastel |ou elle lauoit garde maint iout |De celle mesmes matiere dessusdicte. |Le chasteau auoit nom galefort 	et il dit |si fera il. |Si la fait monter |et la conduit iuscau chastel oue ele lauoit garde maint ior. |Ciz chastiax auoit non Balefort 	et il dist |que si fera il uoulentiers sy la cenduit au chastel |ou elle uoulloit aller. 	Et il dist |que chou fera il moult volentiers. |puis le conduit au castel |ou elle voloit aler. |et la ou elle lauoit autre sois garde maint ior. |Et li castiaus auoit non Galafort 	Ed e' le dice che volentieri, |si-lla fa montare e la conduce |insin qua il castello |ov’ella avea dimorato molte volte. |Chel castello avea nome Galifore, 
1248|1249|1250|1251|1252|1253	et seoit sor une petite riviere, |si estoit molt aaisiés de totes choses |et fors a merveille, |Et quant Lancelos vint la, |il ne fet pas a demander |se l’en li fist joie, 	e estaua ençima devna pequeña Ribera |e estaua bien asentado de todas partes e fuerte amarauilla |e quando lançarote y llego no cale demandar |si conel fizieron gran alegria 	et seoit sur une petite riuiere. |si estoit moult aise de toutes choses et fort a merueilles |Et quant lancelot uint la |il ne fait pas a demander |si len luy fait ioye. 	et seoit sor une petite riuiere. |Si estoit mout aisiez de totes choses: |et fors a merueillens.|et quant lanc̃. uint la il ne fait pas a demander cil en fist ioie. 	et ou elle lauoit garde maint iour |et auoit nen gallasfort/ |Et quant lancelot uint la il ne feist mie a demander |se on luy fist grant chere. 	et seoit sor vne petite riuiere. |et estoit moult bien assis de toutes choses. |Et estoit fors a merueilles. |Et quant lancelot vint |la il ne fait mie a demander |Se on li fist grant ioie 	si era sopr’una piccola riviera |e si era molto adagiato di tutte cose, |ed era forte a maraviglia.|eE quando Lancellotto giunse là, |e non fa mica sal domandare se l’uomo gli fece honore e gioia, 
1254|1255|1256	kar cil del chastel savoient ja bien |que lor dame estoit delivree par I. chevalier |qui o li venoit. 	ca los del castillo sabian muy bien |como su señora hera ya librada Porvn cauallero |que auia venido 	car ceulx du chastel scauoient bien que leur dame estoit deliuree par ung cheualier |qui uenoit o lie 	Car cil del chastel sauoien |ia bien commen lor dame estoit deliuree par .i. cheualier |qui o li uenoit 	Car ceulx du chastel sauoient ia bien |comment leur dame estoit del iuree par ung cheualier |qui auec elle uenoit 	quar cil del castel sorent ia bien |comment lor dame estoit deliuree par. j. cheualier |qui aueques li venoit. 	ché quelli del castello sapieno già bene |come lor dama era dilivera per uno cavaliere che con lei ne veniva. 
1257|1258	Et quant il le virent, |si le reçurent a si grant joie 	e quando los del castillo los vieron venir a lançarote |ansi lo Reçiuieron con gran alegria 	Et quant ilz le uirent |si le receurent a si grant ioye 	et quant il le uirent |Si le resurent a si grant ioie 	sy le recheurent 	Et il firent a lui si grant ioie 	E quand’elli il vidono, |si-llo ricevettono a si gran gioia 
1259	com se ce fust Damedieu meismes 	como si la madre de dios Mesma fuese 	comme se ce fust dieu. 	comme ce fudt diex meismes. 	eomment sil eust este dieu 	comme se chou fust diex meismes. 	come se ciò fosse Domenedio medesimo, |e 
1260	et s’agenoillent tuit devant lui 	e fincaban los ynojos |por do el venia 	et sagenoillent tous deuant luy. 	et sagenoillent deuant lui par la ou il uenoit. 	et se agenoullerent deuant luy 	et sagenoillent par deuant luj par la 	s’aginocchiano tutti quanti a-llui per me là |ov’elli il vidono, 
1261|1262|1263	et crioient a une vois tuit ensamble : « |Sire, |sor tos cels del monde soiés vos bien venus, 	e deçian todos avna voz bien venga el buen cauallero |sobre todos los omes del mundo 	et crient a une uoix tous ensemble Sire sur tous ceulx du monde. |soyez uous le bien uenu 	Et crioient a une uois tuit ensanble. |Sire sor tous ciax dou monde soiez uous li bien uenus. 	et crioient tous a une uois. |Sire sur tous ceulx du mende uous soyes le bien uenu quy nostre 	ou il uenoit. |et crioient |Is iet al tuit a vne vois. Sire sour tous chiaus del monde soies vous li bien uenus 	e gridavano tutti a una boce e a uno grido: |¡s |«Sire, |sopra tutti quelli del mondo |siate voi il trasbenvenuto, 
1264|1265	qui nostre grant duel avés torné en grant joie !» |A tel feste ont laiens Lancelot receu 	Que nuestro duelo torno en alegria |A tal Plazer y a tal alegria fue lançarote rrescebido enel castillo |como vos digo 	qui nostre grant deul auez toͬne en grant ioye telle feste |ont leans receu lancelot. 	Car nostre grant duel auez atorne a ioie. |a tous iors mais. |A tel Ioie out lanc̃. receut. 	grant deul aues tourne en ioye. |A telle feste |ont leans lancelot receu.	qui nostre grant doel aues torne a ioie tel feste et a tel ioie ont laiens receu lancelot. 	ché nostro gran duolo avete menato in nostra gran gioiab». |BoIn tale gioia e in tale festa ânno Lancellotto là entro ritenuto, 
